,after,annotation_id,because,bred,breeding,breeds,cause,caused,causes,causing,conversation_id,create,created,creates,creating,cuz,effect,effected,effecting,effects,if,induce,induced,induces,inducing,lead,leads,led,made,make,makes,making,once,participant_id,precipitate,precipitated,precipitates,precipitating,produce,produced,produces,producing,provoke,provoked,provokes,provoking,result,resulted,resulting,results,since,so,soon,start,started,starting,starts,therefore,when,whenever
0,0,28489,0,0,0,0,0,0,0,0,4-MG-2014-05-17_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,28490,0,0,0,0,0,0,0,0,4-MG-2014-05-17_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,28488,0,0,0,0,0,0,0,0,4-MG-2014-05-17_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,28523,0,0,0,0,0,0,0,0,4-MG-2014-05-17_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,25838,0,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,25826,0,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,25837,0,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,25834,0,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,25835,0,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,25839,1,0,0,0,0,0,0,0,4-MG-2014-05-20_PES_3_consensus.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
